p,offset,b,c
1630129,37911,11,417010
1633129,37991,11,37980
1634089,29711,14,1455825
1637521,34847,12,69682
1639849,29819,14,119262
1640641,13787,30,4136070
1640809,34911,12,2513580
1641721,52967,8,52959
1645009,20823,20,4164580
1645249,42191,10,84372
1645561,42199,10,84388
1647241,42239,10,211185
1647361,35051,12,560804
1647769,42251,10,845010
1648081,42259,10,845170
1648441,23219,18,278610
1650889,53255,8,852072
1654921,42439,10,84868
1655809,35231,12,422760
1656649,28079,15,2105910
1659169,42543,10,2127140
1664569,38711,11,4684020
1667689,35495,12,35483
1668241,35495,12,851868
1669441,53855,8,215412
1670089,42823,10,2141140
1672609,28351,15,255144
1673281,17615,24,281816
1674289,42931,10,858610
1680361,19315,22,849838
1681201,35771,12,572324
1683049,23711,18,71115
1693729,43431,10,217145
1694281,21447,20,1072330
1694449,23867,18,286386
1694809,30815,14,1509921
1699681,21515,20,8605980
1700161,43599,10,87188
1701121,54875,8,3511992
1701361,23963,18,2587986
1701841,43639,10,218185
1702009,36215,12,217278
1702369,43651,10,873010
1708009,31055,14,1521681
1711921,15423,28,1511426
1712881,18031,24,649092
1712929,18031,24,2596440
1713121,55263,8,442096
1713769,55283,8,3538104
1717081,36535,12,328803
1717321,44039,10,88068
1720321,44111,10,2205540
1721449,21791,20,871620
1721689,44151,10,88292
1722529,31319,14,1534617
1724209,44211,10,884210
1724641,36695,12,880668
1726201,7223,60,1083390
1726729,55703,8,222804
1727881,15567,28,871724
1728409,36775,12,1323888
1730089,16799,26,218361
1730929,44383,10,2219140
1731361,44399,10,88788
1732369,55883,8,3576504
1732921,44439,10,88868
1733041,44439,10,222185
1733449,24415,18,1977597
1734121,21951,20,4390180
1738969,44591,10,222945
1739641,37015,12,333123
1740169,56135,8,898152
1740481,16911,26,33796
1740649,56151,8,449200
1741609,56183,8,224724
1742161,56207,8,56199
1746649,44791,10,89572
1748041,10999,40,87952
1749001,14699,30,293950
1749049,56423,8,225684
1750681,24659,18,295890
1751569,31847,14,1560489
1751689,37271,12,447240
1752601,44939,10,898770
1753249,10499,42,881874
1755769,29759,15,2231910
1759489,37439,12,149744
1760641,56795,8,3634872
1761169,18539,24,1186472
1761601,37487,12,74962
1762609,40991,11,4959900
1765369,45271,10,90532
1766041,22355,20,8941980
1766209,56975,8,911592
1766689,56991,8,455920
1768321,41135,11,41124
1769329,10595,42,2076578
1769881,57095,8,228372
1770841,37679,12,301420
1773601,57215,8,228852
1775041,45519,10,91028
1775281,37775,12,151088
1777441,21415,21,9443994
1777609,41351,11,41340
1779409,45631,10,91252
1780321,30175,15,6789360
1782169,37919,12,910044
1788529,57695,8,923112
1788649,45863,10,2293140
1790209,45903,10,2295140
1793761,45999,10,91988
1795201,46031,10,2301540
1795369,30431,15,456450
1795921,57935,8,231732
1796281,46059,10,921170
1797049,18919,24,170247
1798129,46111,10,92212
1800121,46159,10,230785
1802641,21719,21,1064210
1804489,46271,10,231345
1804609,38399,12,153584
1807969,13007,35,15933540
1809481,46399,10,231985
1810561,22919,20,916740
1813081,58487,8,935784
1813681,38591,12,231534
1813729,46511,10,93012
1817281,58623,8,468976
1820809,15311,30,45903
1821121,16407,28,918764
1821649,58763,8,3760824
1822321,30887,15,2316510
1824001,58847,8,58839
1824169,33167,14,1625169
1824649,46791,10,93572
1825489,58895,8,58887
1826281,30959,15,92862
1829041,46899,10,937970
1830481,22055,21,463134
1835689,47071,10,235345
1838761,59315,8,3796152
1839121,59327,8,949224
1840441,47191,10,2359540
1842289,39199,12,352779
1843801,47279,10,236385
1846441,39287,12,471432
1846849,42951,11,472450
1848169,47391,10,236945
1848289,31327,15,7048560
1848841,19463,24,311384
1849201,31343,15,783560
1849849,43031,11,43020
1850041,59687,8,59679
1853329,4839,96,22298016
1855849,47591,10,95172
1855921,15599,30,155960
1856089,23495,20,2349480
1858201,59943,8,479536
1859881,39575,12,158288
1865329,47831,10,239145
1869169,26327,18,710811
1870369,60335,8,965352
1871641,47991,10,2399540
1875241,39911,12,39899
1876009,48103,10,2405140
1877401,48139,10,962770
1877761,60575,8,242292
1878769,34163,14,136638
1880209,48211,10,964210
1880929,48231,10,241145
1881289,60695,8,60687
1881961,26507,18,954234
1885489,48351,10,96692
1885801,48359,10,96708
1888441,19879,24,715620
1890121,32039,15,160180
1891969,40255,12,1449168
1894729,48583,10,2429140
1896241,21807,22,43592
1896721,48639,10,97268
1898521,22895,21,22874
1901089,48751,10,97492
1901209,48751,10,243745
1902049,48771,10,975410
1902289,40475,12,647588
1903969,40511,12,486120
1904809,28431,17,483310
1905121,40535,12,972828
1907761,48919,10,244585
1909441,61595,8,3942072
1911121,21967,22,5315992
1911289,61655,8,986472
1912681,20135,24,322136
1912969,49051,10,981010
1914361,32447,15,2433510
1914889,40743,12,733362
1915201,40751,12,244494
1915489,61791,8,494320
1915729,34835,14,139326
1918849,23119,21,1456476
1918921,8039,60,48174
1920601,61955,8,3965112
1920769,49251,10,985010
1924561,27107,18,975834
1926241,49391,10,2469540
1926289,40991,12,81970
1927129,41015,12,41003
1928161,62207,8,62199
1928809,41039,12,984924
1929841,62255,8,249012
1932001,49539,10,990770
1932121,62327,8,997224
1932361,19519,25,2439850
1932841,17415,28,243782
1933681,27235,18,8824122
1933849,49591,10,99172
1934521,27247,18,2206989
1935049,62423,8,249684
1935481,62435,8,3995832
1936489,27275,18,981882
1937329,62495,8,999912
1940401,49759,10,99508
1940929,20431,24,2942040
1943209,49831,10,99652
1945609,41399,12,165584
1945969,14855,33,1797422
1946401,24639,20,492760
1949161,49979,10,999570
1949929,62903,8,251604
1951321,50039,10,100068
1952449,50063,10,2503140
1952689,62991,8,503920
1953001,50079,10,250385
1953529,50091,10,1001810
1955809,50151,10,250745
1959721,45575,11,5514564
1961929,50311,10,100612
1962409,20663,24,82628
1963201,50339,10,1006770
1964041,19839,25,2479850
1970161,50519,10,252585
1971481,50551,10,2527540
1971601,50559,10,101108
1973689,45911,11,45900
1974121,50619,10,1012370
1977361,20815,24,749316
1977529,50711,10,101412
1979209,50751,10,253745
1982401,50831,10,2541540
1982521,50839,10,101668
1983361,27935,18,1508472
1983601,29607,17,503302
1985041,50899,10,1017970
1986121,22831,22,251119
1990081,25191,20,5038180
1991089,29735,17,29718
1991641,64247,8,1027944
1991929,42383,12,339052
1992769,64283,8,4114104
1992841,51099,10,1021970
1995841,64383,8,515056
1996129,51183,10,2559140
1996681,51199,10,255985
1998049,16791,30,755565
2000209,64523,8,4129464
2001049,64551,8,516400
2001409,18031,28,1767010
2003761,51379,10,1027570
2004601,18063,28,144476
2005441,42671,12,256014
2006929,34031,15,34016
2007721,42719,12,341740
2008441,51499,10,1029970
2010241,64847,8,1037544
2012641,25479,20,203812
2013001,46815,11,514954
2013169,64943,8,259764
2014609,34151,15,102438
2015161,51671,10,2583540
2016529,51711,10,103412
2017009,14511,35,3555160
2017369,42935,12,42923
2020321,16979,30,339550
2020489,21271,24,191415
2023921,34319,15,34304
2025409,30231,17,513910
2026249,65363,8,4183224
2028601,65447,8,65439
2029801,28607,18,28589
2031121,815,624,550316
2031409,43223,12,345772
2033089,52131,10,1042610
2034841,43295,12,1039068
2037169,37043,14,148158
2038801,52279,10,261385
2040361,52319,10,261585
2041561,43439,12,347500
2043001,28775,18,1553832
2044249,43495,12,1565808
2045569,52451,10,1049010
2045761,43527,12,3133932
2047369,30575,17,30558
2051281,52599,10,262985
2051641,66183,8,529456
2055649,52711,10,263545
2055769,28955,18,1042362
2056489,52731,10,1054610
2058169,43791,12,3152940
2060881,29027,18,1044954
2061361,43871,12,43859
2062561,34959,15,1573140
2064241,23727,22,5741912
2066761,52999,10,105988
2067529,66695,8,1067112
2068201,53031,10,2651540
2072569,53143,10,2657140
2072809,53151,10,265745
2073121,66875,8,4279992
2073481,66887,8,1070184
2074129,53183,10,2659140
2075929,53231,10,266145
2076649,17451,30,3141150
2077849,29267,18,351186
2080201,53339,10,1066770
2080849,10895,48,1045872
2083321,53419,10,1068370
2084209,48471,11,533170
2086681,44399,12,355180
2088241,48575,11,48564
2088409,53551,10,267745
2089441,29447,18,29429
2093449,44543,12,356332
2094481,24075,22,1059278
2097769,67671,8,541360
2098009,48791,11,5903700
2098441,35567,15,2667510
2099521,67727,8,1083624
2100001,67743,8,541936
2100121,25303,21,1594068
2108089,68003,8,4352184
2108401,68015,8,272052
2108761,54071,10,2703540
2108929,68031,8,544240
2109769,38363,14,153438
2111041,49095,11,540034
2113609,68183,8,272724
2116129,17783,30,1333695
2116921,45047,12,90082
2118601,68343,8,546736
2119681,54351,10,2717540
2120329,49311,11,542410
2121529,45139,12,6500004
2126041,68583,8,548656
2127409,54551,10,272745
2127721,54559,10,272785
2128561,54579,10,1091570
2129689,8911,60,3207900
2130529,68735,8,68727
2133121,30047,18,180264
2133289,30047,18,811251
2134609,30071,18,90195
2135401,54759,10,109508
2136289,45455,12,272718
2136649,54791,10,109572
2137921,54819,10,1096370
2137969,68975,8,68967
2140681,30155,18,120602
2141329,54911,10,109812
2142121,8963,60,3585140
2143969,49871,11,49860
2144041,16367,33,1980374
2144641,69183,8,553456
2145721,55019,10,1100370
2146489,45671,12,548040
2149249,55111,10,275545
2149681,24711,22,271799
2150689,55151,10,110292
2151241,69395,8,4441272
2152921,45807,12,3298092
2153089,69455,8,1111272
2153449,12895,42,5686653
2155129,18111,30,814965
2155609,36551,15,36536
2158081,21799,25,2724850
2158921,55359,10,276785
2160841,18159,30,817125
2162449,22763,24,1456808
2163361,55471,10,2773540
2164681,20231,27,1638684
2164801,19503,28,1911266
2168329,46135,12,1660848
2171761,13679,40,27318
2171929,55691,10,1113810
2172241,55699,10,1113970
2173081,30607,18,2479149
2175721,46295,12,185168
2176609,55811,10,1116210
2176729,25031,22,50040
2177401,70247,8,70239
2181601,55939,10,1118770
2183281,50775,11,558514
2184001,22991,24,367832
2184361,19679,28,7714140
2185009,56031,10,112052
2186209,70523,8,4513464
2188489,39791,14,1949745
2188729,14495,38,5232657
2189881,56151,10,2807540
2191561,56199,10,112388
2192089,32735,17,32718
2192569,50991,11,560890
2193769,70775,8,70767
2194201,21303,26,7200388
2194369,56271,10,112532
2196049,56311,10,281545
2197561,37247,15,2793510
2200321,56419,10,1128370
2202601,56479,10,282385
2203441,71087,8,71079
2204161,71103,8,568816
2206969,56591,10,282945
2210401,56679,10,283385
2210881,71327,8,71319
2211889,47063,12,376492
2215921,56819,10,1136370
2216281,71495,8,285972
2218129,47195,12,755108
2218561,71567,8,1145064
2219449,56911,10,284545
2219641,56919,10,113828
2220409,47255,12,47243
2220961,47255,12,1134108
2221321,56959,10,284785
2222089,47279,12,1134684
2222761,71703,8,573616
2222929,25551,22,6183320
2225689,57071,10,285345
2227129,71843,8,4597944
2228521,13355,42,53378
2229889,40547,14,162174
2231209,71975,8,1151592
2236249,28307,20,11322780
2238721,33431,17,33414
2239561,47651,12,762404
2241409,37991,15,569850
2243089,40787,14,163134
2244841,31619,18,379410
2245849,72455,8,72447
2246281,57599,10,287985
2248849,57663,10,2883140
2252209,57751,10,288745
2255089,57823,10,2891140
2255761,72767,8,1164264
2256601,27191,21,190316
2258041,57899,10,1157970
2259601,57939,10,1158770
2259889,57951,10,115892
2260561,31839,18,5157900
2260801,38319,15,1724340
2262409,72983,8,291924
2263321,58039,10,116068
2263801,48167,12,577992
2264161,52655,11,6371244
2264329,73043,8,4674744
2268289,52751,11,6382860
2268841,52775,11,52764
2269009,41255,14,2021481
2269129,58183,10,2909140
2271481,26111,22,287199
2273209,28775,20,2877480
2274241,58319,10,116628
2276089,41387,14,165534
2279281,11231,51,190876
2282281,73623,8,588976
2283649,38711,15,116118
2284489,27527,21,192668
2285329,41555,14,166206
2285641,48631,12,1750704
2288449,73823,8,295284
2289961,58719,10,293585
2293729,48815,12,48803
2294209,74015,8,74007
2296729,58891,10,1177810
2297521,58911,10,2945540
2300281,53495,11,6472884
2300761,58999,10,117988
2301049,48959,12,1175004
2301601,48971,12,783524
2302441,59039,10,295185
2302969,59051,10,1181010
2303569,59071,10,118132
2308321,74463,8,595696
2310289,24319,24,3501912
2311849,26575,22,292303
2312521,24343,24,876324
2312689,74603,8,4774584
2315161,49271,12,49259
2317009,59411,10,1188210
2317561,20879,28,8184540
2317921,59439,10,118868
2318761,74807,8,74799
2319241,27943,21,1760388
2321281,49391,12,296334
2321881,39359,15,118062
2323561,59579,10,1191570
2324281,59599,10,297985
2326249,49495,12,1781808
2328649,59711,10,298545
2329849,32815,18,2657997
2330161,75167,8,1202664
2332849,42419,14,169662
2335369,75335,8,1205352
2338081,75423,8,603376
2339569,75471,8,603760
2339929,32975,18,32957
2340241,23639,25,2954850
2340769,42563,14,170238
2341201,60031,10,3001540
2341609,49823,12,398572
2343049,19691,30,393790
2343889,49871,12,598440
2345809,60151,10,300745
2347129,60183,10,3009140
2348809,60231,10,120452
2350441,39839,15,597570
2351281,35111,17,35094
2354641,50111,12,50099
2358721,54855,11,603394
2359561,76115,8,4871352
2359921,76127,8,1218024
2360089,50215,12,1807728
2363209,42971,14,171870
2364289,60623,10,3031140
2365969,60671,10,121332
2367289,24919,24,3588312
2367649,60711,10,303545
2368129,27231,22,54440
2369761,33383,18,100131
2369929,24947,24,1596584
2370481,27247,22,6593752
2376529,19971,30,3594750
2376721,33475,18,10845882
2377201,60959,10,121908
2377321,60959,10,304785
2377729,76703,8,306804
2378569,60991,10,304945
2379721,61019,10,1220370
2380249,30131,20,482076
2381689,61071,10,305345
2382529,61091,10,1221810
2387401,77015,8,308052
2387449,77015,8,1232232
2389921,16715,36,267404
2390809,77123,8,4935864
2392009,30279,20,1513930
2392681,61351,10,3067540
2394121,50951,12,50939
2395681,50975,12,203888
2395849,35759,17,10334334
2397049,61463,10,3073140
2397649,30351,20,607000
2400169,61543,10,3077140
2400841,77447,8,1239144
2402401,51115,12,7360548
2405089,61671,10,308345
2405881,51191,12,307134
2405929,61691,10,1233810
2406721,61711,10,3085540
2406769,43763,14,175038
2410081,61799,10,308985
2416849,77963,8,4989624
2416969,77975,8,77967
2419489,51479,12,1235484
2423569,62143,10,3107140
2423689,62151,10,124292
2423929,51575,12,309438
2424241,30687,20,1534330
2425249,62191,10,124372
2426041,20387,30,6116070
2426209,62211,10,1244210
2427769,62251,10,1245010
2428441,51671,12,310014
2431321,51731,12,827684
2432929,62383,10,3119140
2434441,56615,11,6850404
2434609,62431,10,124852
2435161,51815,12,207248
2435281,51815,12,1243548
2435689,34307,18,411666
2439649,41351,15,620250
2439889,21983,28,307734
2440201,25687,24,924708
2440561,62579,10,1251570
2441041,62591,10,3129540
2441209,28071,22,56120
2442889,78803,8,5043384
2443729,78831,8,630640
2444569,44447,14,2177889
2447209,62751,10,313745
2448769,62791,10,313945
2448961,79007,8,78999
2449801,12071,51,205156
2451289,31031,20,310290
2454841,52231,12,1880304
2458369,34631,18,103875
2458681,29623,21,1866228
2459209,57191,11,6920100
2460889,57231,11,629530
2461729,44759,14,2193177
2462329,79431,8,635440
2463049,44783,14,2194353
2463841,79487,8,79479
2464849,44819,14,179262
2467441,79595,8,5094072
2467609,52503,12,945042
2469289,79655,8,1274472
2470801,63359,10,126708
2472121,52599,12,946770
2474929,44999,14,2204937
2476321,6759,92,53980
2476681,79895,8,319572
2477689,63531,10,1270610
2478529,52735,12,1898448
2479129,22335,28,1250732
2479849,63591,10,127172
2480209,80015,8,80007
2481649,26123,24,1671848
2485849,35015,18,210072
2486521,63759,10,318785
2486761,31479,20,629560
2487601,11359,55,6872140
2488609,63811,10,1276210
2489881,80327,8,80319
2490889,63871,10,319345
2491729,63891,10,1277810
2493121,31559,20,1262340
2493409,45335,14,2221401
2497609,37295,17,37278
2498521,35195,18,140762
2499169,45443,14,181758
2500009,64103,10,3205140
2501689,64151,10,128292
2502481,42415,15,9543360
2506681,64279,10,128548
2506729,53335,12,1920048
2508409,45611,14,182430
2510041,26423,24,422744
2511049,64391,10,128772
2511601,53439,12,961890
2511721,53447,12,106882
2512801,64431,10,3221540
2514961,35423,18,637596
2515321,53519,12,428140
2520169,31911,20,63802
2520841,64639,10,323185
2522809,81383,8,325524
2524369,53711,12,644520
2525041,81455,8,325812
2525161,53727,12,3868332
2525569,81471,8,651760
2529529,45995,14,183966
2530441,32031,20,6406180
2531761,64919,10,324585
2532289,81695,8,81687
2534401,81755,8,5232312
2536801,53975,12,1295388
2538769,46163,14,184638
2539321,65111,10,3255540
2541529,29215,22,321343
2541961,82007,8,81999
2542681,82023,8,656176
2543641,82055,8,328212
2543809,65231,10,130452
2544481,59175,11,650914
2550601,35927,18,215544
2551441,54287,12,651432
2552449,35951,18,647100
2552761,19487,33,2357894
2553289,65471,10,327345
2553601,65479,10,327385
2554129,65491,10,1309810
2554729,65511,10,131012
2555281,35999,18,71980
2555569,32351,20,323490
2555809,54379,12,7830564
2559481,32399,20,1295940
2560849,65663,10,3283140
2563009,29471,22,58920
2563849,54551,12,654600
2569681,82895,8,331572
2570401,36203,18,3909906
2570761,65919,10,329585
2571409,54711,12,3939180
2572081,65951,10,3297540
2574289,32591,20,130344
2574721,66019,10,1320370
2574889,83063,8,332244
2578249,66111,10,330545
2578801,21671,30,1625295
2579809,66151,10,330745
2580169,38511,17,654670
2580649,83255,8,83247
2581441,66191,10,3309540
2582329,83303,8,333204
2583169,46967,14,2301369
2585641,66299,10,1325970
2586721,24175,27,17623548
2588401,27247,24,980868
2590249,47099,14,188382
2590729,66431,10,332145
2592361,66471,10,3323540
2592769,36527,18,73036
2594209,55199,12,220784
2595049,60351,11,663850
2596969,66591,10,332945
2598121,66619,10,1332370
2599489,83855,8,1341672
2600329,47279,14,2316657
2600761,36635,18,146522
2601601,44095,15,9921360
2602441,18199,36,5896440
2602681,38847,17,660382
2604529,66783,10,3339140
2605201,84047,8,84039
2606041,29955,22,1317998
2607721,44199,15,1988940
2608369,84143,8,336564
2609401,60695,11,60684
2610721,38967,17,662422
2611009,66951,10,334745
2613361,84303,8,674416
2615089,30059,22,1322574
2615449,67063,10,3353140
2617129,67111,10,134212
2618449,27563,24,1764008
2619289,47627,14,190494
2619961,84515,8,5408952
2620921,44423,15,1110560
2622601,27607,24,993828
2626969,84743,8,338964
2627689,23687,28,47346
2628481,67399,10,336985
2629369,47807,14,2342529
2632249,44615,15,1115360
2633689,67531,10,1350610
2634241,37103,18,667836
2634769,56059,12,8072484
2636449,85055,8,85047
2638561,85115,8,5447352
2639401,85143,8,681136
2640289,44751,15,2013780
2640409,85175,8,1362792
2644489,61511,11,61500
2646001,85355,8,5462712
2646361,85367,8,1365864
2647009,48131,14,192510
2647681,61575,11,677314
2650321,67959,10,339785
2652409,68011,10,1360210
2653081,26799,25,3349850
2655241,85655,8,342612
2655409,45007,15,10126560
2658049,56555,12,904868
2659801,37463,18,674316
2664601,85955,8,5501112
2666281,30647,22,7416552
2667289,62031,11,682330
2667361,68399,10,136788
2668129,48515,14,194046
2669209,39839,17,11513454
2669881,68459,10,1369170
2671729,68511,10,137012
2672401,86207,8,1379304
2674849,68591,10,137172
2677369,86375,8,86367
2678041,37719,18,6110460
2683321,86567,8,86559
2684641,68839,10,344185
2685601,45519,15,2048340
2687161,57175,12,514563
2693329,57311,12,114610
2694049,48983,14,2400153
2694169,57335,12,57323
2696521,45719,15,45704
2696929,57383,12,459052
2698441,87047,8,1392744
2698921,87063,8,696496
2700121,69239,10,138468
2702449,57499,12,8279844
2705641,87287,8,87279
2705761,69379,10,1387570
2707321,87335,8,349332
2708689,45911,15,688650
2709841,38167,18,3091509
2710681,45959,15,45944
2712529,87503,8,350004
2715409,69631,10,139252
2718241,69699,10,1393970
2718409,69703,10,3485140
2718601,46079,15,691170
2720881,31275,22,1376078
2721721,57911,12,347454
2722561,57927,12,4170732
2722729,87831,8,702640
2726089,9771,70,9575510
2727841,87995,8,5631672
2733361,88175,8,352692
2735329,58199,12,1396764
2737081,88295,8,353172
2738761,23015,30,3452220
2740249,70263,10,3513140
2742889,70331,10,1406610
2745121,58407,12,4205292
2746801,88607,8,1417704
2748601,70479,10,352385
2748769,88671,8,709360
2749609,70503,10,3525140
2754481,58607,12,703272
2754889,58615,12,2110128
2755201,31671,22,348359
2756161,70671,10,3533540
2757049,41151,17,699550
2757889,58679,12,1408284
2759761,58719,12,1056930
2762281,58775,12,235088
2762761,31767,22,63512
2763601,38927,18,233544
2764129,34991,20,349890
2764441,46855,15,10542360
2765281,33319,21,299850
2766649,89255,8,89247
2767249,58879,12,529899
2768329,89303,8,357204
2769001,58915,12,8483748
2770849,58955,12,943268
2777161,39115,18,12673242
2778241,71239,10,356185
2782081,47159,15,141462
2782201,71339,10,1426770
2782921,71359,10,356785
2783281,59231,12,59219
2784049,71391,10,142772
2784961,59255,12,1422108
2786569,71451,10,1429010
2786809,39251,18,4239090
2790001,71539,10,1430770
2790481,71551,10,3577540
2790649,90023,8,360084
2790769,35327,20,883155
2793121,71619,10,1432370
2795521,27143,26,352833
2798161,29455,24,1060356
2800921,71819,10,1436370
2801401,71831,10,3591540
2803081,90423,8,723376
2809249,90623,8,362484
2809489,32295,22,355223
2810329,59795,12,956708
2810641,65375,11,65364
2811649,59823,12,1076802
2812441,72119,10,144228
2814169,59879,12,239504
2817721,47759,15,716370
2818369,72271,10,144532
2818561,72271,10,3613540
2820889,72331,10,1446610
2821009,60023,12,480172
2821681,91023,8,728176
2822569,60055,12,2161968
2822689,91055,8,1456872
2824201,39779,18,477330
2827969,34079,21,102216
2828641,91247,8,1459944
2828809,47951,15,143838
2829121,91263,8,730096
2829961,60215,12,240848
2830129,91295,8,1460712
2830921,12695,56,2488164
2830969,72591,10,362945
2831329,51479,14,2522457
2832601,72631,10,3631540
2833609,91415,8,91407
2834329,91431,8,731440
2835121,17831,40,14264760
2836849,60359,12,1448604
2837881,25567,28,1431724
2839201,40007,18,39989
2840041,20439,35,102160
2840161,60431,12,362574
2840209,72831,10,145652
2842849,23891,30,477790
2847289,40103,18,2165544
2847769,60591,12,4362540
2847961,60595,12,8725668
2851081,28799,25,3599850
2851921,66335,11,66324
2852809,73151,10,365745
2853481,40199,18,80380
2853601,60715,12,8742948
2856121,92135,8,368532
2857009,24011,30,288102
2857801,73279,10,366385
2864689,60951,12,4388460
2865241,36279,20,72538
2865601,92447,8,92439
2866609,73503,10,3675140
2867929,36303,20,7260580
2868289,73551,10,147092
2872081,9235,78,56185662
2873809,61151,12,122290
2874841,73719,10,147428
2875489,73731,10,1474610
2875681,30271,24,1089732
2878849,66951,11,736450
2879641,73839,10,369185
2880649,73863,10,3693140
2881561,24215,30,3632220
2885569,93083,8,5957304
2886409,93111,8,744880
2887921,93167,8,93159
2888089,52511,14,2573025
2889769,40703,18,366309
2890441,74119,10,148228
2892649,74171,10,1483410
2893081,61555,12,8863908
2894161,40763,18,4402386
2894329,67311,11,740410
2897449,49111,15,441984
2898121,74311,10,3715540
2901361,74399,10,148788
2901721,61751,12,61739
2902729,74431,10,372145
2903041,93647,8,1498344
2903569,74451,10,1489010
2906401,93755,8,6000312
2906569,52847,14,2589489
2909041,74591,10,3729540
2910769,41015,18,40997
2910889,41003,18,163994
2911561,24467,30,7340070
2911969,93935,8,1502952
2912641,49367,15,3702510
2914081,43511,17,43494
2914129,62015,12,62003
2914921,36899,20,590364
2916769,74791,10,373945
2918521,74839,10,149668
2918689,49471,15,445224
2919841,26319,28,52610
2930281,29599,25,3699850
2930761,49679,15,149022
2931289,33695,22,370623
2934289,94655,8,1514472
2936929,75311,10,150612
2938489,94791,8,758320
2938609,75351,10,376745
2939689,17603,42,10350522
2942809,62615,12,375678
2944561,62651,12,1002404
2947729,75583,10,3779140
2948521,62735,12,1505628
2949409,75631,10,151252
2950609,95183,8,380724
2951089,75671,10,378345
2952721,75711,10,3785540
2952769,62831,12,125650
2954569,68711,11,8314020
2955481,41627,18,1498554
2957161,62919,12,1132530
2957329,75831,10,379145
2957641,75839,10,379185
2958169,75851,10,1517010
2958481,95435,8,6107832
2961121,34047,22,68072
2961289,75931,10,1518610
2967409,95723,8,6126264
2968681,26759,28,53490
2969569,76143,10,3807140
2969929,63191,12,758280
2972041,63235,12,9105828
2973721,95927,8,1534824
2973889,63275,12,1012388
2975449,11315,66,497794
2975569,63311,12,759720
2976481,37679,20,376770
2977801,76359,10,152708
2978089,41951,18,125835
2980441,63415,12,570723
2981449,17855,42,374913
2984521,96275,8,6161592
2984689,76531,10,1530610
2986729,76583,10,3829140
2988841,76639,10,383185
2990761,37859,20,605724
2992201,29051,26,1510626
2994961,76799,10,153588
2996449,63755,12,1020068
3001321,76959,10,384785
3002521,44831,17,44814
3003529,63911,12,127810
3005809,50951,15,152838
3007321,77111,10,3855540
3007369,54683,14,218718
3009241,36263,21,108768
3010681,97127,8,97119
3013081,77259,10,1545170
3014281,97235,8,6223032
3015601,21695,35,26576340
3015769,97283,8,6226104
3017281,64199,12,513580
3017809,51151,15,460344
3019801,97415,8,389652
3020161,64271,12,64259
3021649,70271,11,8502780
3021769,64295,12,385758
3022849,77511,10,387545
3023329,97535,8,97527
3029401,77679,10,388385
3030241,77699,10,1553970
3031681,34847,22,8432952
3033409,31931,24,2043560
3033529,77783,10,3889140
3034441,31943,24,511064
3035761,64591,12,2325264
3038281,29511,26,58996
3041161,98103,8,784816
3041809,98123,8,6279864
3043441,78039,10,390185
3043489,29555,26,118194
3043849,64775,12,64763
3046201,25599,30,1151925
3049369,98375,8,98367
3050401,32111,24,513752
3052561,78271,10,3913540
3053521,45575,17,13171158
3053689,35111,22,70200
3054241,78319,10,156628
3054409,55535,14,2721201
3054769,98543,8,394164
3055369,78343,10,3917140
3055441,38679,20,309412
3058441,51839,15,777570
3061129,78491,10,1569810
3061249,98751,8,790000
3065449,65223,12,1174002
3066529,78631,10,393145
3068641,71375,11,71364
3069529,78711,10,157412
3070321,65327,12,783912
3072001,24191,32,387024
3072169,52071,15,2343180
3072841,78791,10,3939540
3076921,43343,18,130011
3078601,78939,10,1578770
3078769,78943,10,3947140
3079129,99335,8,99327
3080809,99383,8,397524
3082129,79031,10,395145
3082489,65591,12,131170
3083089,99455,8,1591272
3088201,52343,15,1308560
3088801,99647,8,99639
3089641,52367,15,3927510
3091321,25979,30,519550
3097921,99935,8,399732
3098089,52511,15,787650
3102289,79551,10,159092
3104641,24447,32,782272
3105841,79639,10,398185
3106849,100223,8,400884
3107329,19543,40,15634360
3108961,79719,10,398585
3109681,43799,18,1182555
3109969,79743,10,3987140
3112489,100403,8,6425784
3112729,35779,22,1574254
3113401,79831,10,3991540
3113881,43859,18,526290
3115249,43895,18,43877
3115561,100503,8,804016
3116689,46535,17,46518
3117241,72495,11,797434
3119089,56711,14,2778825
3121561,18695,42,261688
3127441,80191,10,4009540
3127489,100895,8,100887
3129289,53039,15,3977910
3130129,66599,12,1598364
3131041,72815,11,8810604
3131209,101015,8,101007
3135409,66711,12,4803180
3137569,80451,10,1609010
3140041,80519,10,161028
3141601,101343,8,810736
3145489,73151,11,8851260
3146809,101511,8,812080
3148609,57251,14,228990
3149521,80759,10,403785
3151129,36231,22,72440
3152041,101687,8,101679
3153649,80863,10,4043140
3154201,80879,10,404385
3154321,26507,30,7952070
3154729,80891,10,1617810
3157081,80951,10,4047540
3158401,33247,24,1196868
3160369,14431,55,8730700
3163561,81119,10,405585
3163801,67315,12,9693348
3165289,57551,14,2819985
3166321,36395,22,1601358
3167929,81231,10,406145
3169321,53719,15,483456
3169681,81279,10,162548
3169849,38191,21,16842210
3170689,67463,12,539692
3174361,102407,8,102399
3177169,81471,10,162932
3178729,81511,10,163012
3181249,102623,8,410484
3181369,40271,20,1610820
3181921,30899,26,123570
3184561,44855,18,403677
3186241,102783,8,822256
3187969,81743,10,4087140
3188089,81751,10,163492
3188641,44915,18,179642
3188761,67847,12,814152
