p,offset,b,c
382729,6959,14,340977
384001,8171,12,130724
384049,6983,14,342153
386401,2559,38,1847560
386521,9911,10,495540
386689,7031,14,344505
388081,12527,8,12519
388369,5471,18,98460
390289,12591,8,100720
390889,10023,10,501140
391441,10039,10,50185
392569,10071,10,20132
393121,5543,18,16611
393649,4983,20,996580
394969,12743,8,50964
395089,10131,10,202610
397489,5603,18,22394
397849,8471,12,16930
400009,8511,12,612780
400849,3371,30,40422
405241,10391,10,519540
407401,13143,8,105136
408241,9495,11,104434
408769,4699,22,206734
409081,1879,55,9340
409609,10503,10,525140
411049,6967,15,1567560
415969,10671,10,21332
417169,8879,12,35504
419161,8919,12,160530
419281,10751,10,537540
421801,13607,8,217704
422041,9815,11,1187604
423481,10859,10,217170
423649,10863,10,543140
426889,10951,10,21892
427849,10971,10,219410
428401,9115,12,1312548
430081,9151,12,329424
431929,9191,12,110280
432961,13967,8,223464
435649,11171,10,223410
436801,9295,12,83643
437809,14123,8,903864
438001,11231,10,561540
438601,9335,12,37328
439441,4439,25,554850
441169,10271,11,10260
443881,14327,8,14319
446041,11439,10,57185
446569,11451,10,229010
446881,11459,10,229170
447409,8135,14,398601
447841,14447,8,231144
449689,11531,10,230610
450529,8195,14,32766
451609,7655,15,191360
453289,11623,10,581140
455401,11679,10,58385
456241,11699,10,233970
461521,11839,10,23668
462841,10775,11,10764
463849,14963,8,957624
464521,11911,10,595540
464809,4191,28,33500
465529,9911,12,19810
469009,12031,10,24052
469849,8543,14,418593
472921,5447,22,10872
473089,15263,8,61044
473929,5711,21,119910
474289,11031,11,121330
474769,10103,12,80812
478129,10175,12,61038
483289,15591,8,124720
484201,8207,15,615510
484369,8807,14,431529
486481,15695,8,62772
486721,5595,22,246158
487489,8867,14,35454
488161,12519,10,62585
488329,10391,12,124680
489241,15783,8,126256
490249,15815,8,253032
492409,12631,10,25252
493249,11471,11,1387980
494041,7391,17,7374
494761,10527,12,757932
496609,6995,18,251802
499321,6023,21,18048
501769,12871,10,25732
502441,10691,12,171044
504001,8543,15,213560
504289,12931,10,258610
505201,12959,10,25908
506809,9215,14,451521
508489,16403,8,1049784
509569,13071,10,26132
510049,5375,24,21476
510889,10871,12,130440
512569,16535,8,264552
513529,3231,40,103352
513769,8711,15,43540
514201,6519,20,13018
515761,10975,12,98763
521161,6599,20,65970
521809,11103,12,199842
522601,6007,22,1453672
525001,11171,12,178724
525361,13471,10,673540
525529,11183,12,89452
526681,11207,12,134472
527209,17015,8,17007
527881,7435,18,2408922
529489,8975,15,224360
530041,13591,10,679540
531841,13639,10,68185
532249,6415,21,57714
532849,13663,10,683140
534529,17243,8,1103544
534601,11375,12,272988
536281,13751,10,687540
537769,13791,10,68945
538561,17375,8,69492
539401,13831,10,691540
540961,13871,10,693540
541129,9839,14,482097
543769,17543,8,70164
543841,4903,28,39196
544009,13951,10,69745
545449,13991,10,27972
546001,17615,8,70452
546841,11635,12,1675428
547681,6599,21,323330
547849,6935,20,693480
549649,11695,12,421008
552841,7787,18,280314
554569,7811,18,843570
555361,17915,8,1146552
556441,6407,22,12792
556609,11855,12,11843
558721,3519,40,28112
560641,9503,15,237560
561409,18111,8,144880
561961,7915,18,2564442
565849,14511,10,72545
569209,12111,12,871980
570529,14631,10,73145
571321,8047,18,651789
577249,18623,8,74484
578041,18647,8,298344
578209,14831,10,29652
580561,8183,18,24531
580969,18743,8,74964
582409,8203,18,2657754
582961,4899,30,881790
592561,19115,8,1223352
593041,5343,28,523586
593209,15211,10,304210
593401,19143,8,153136
595081,15259,10,305170
596569,12695,12,76158
597361,15319,10,76585
598369,15343,10,767140
599281,12751,12,459024
600601,12791,12,12779
601969,8483,18,33914
605641,12887,12,154632
605809,11015,14,539721
608161,15599,10,31188
610681,15659,10,313170
610801,8603,18,929106
612481,14255,11,14244
612889,11147,14,44574
619921,6527,24,104408
621289,15931,10,318610
621721,3911,40,195510
622129,11315,14,45246
623401,7511,21,1104096
626929,14591,11,14580
627169,10631,15,159450
629281,13391,12,80334
629689,16151,10,32292
631681,16199,10,80985
632041,8903,18,160236
632209,16211,10,324210
637729,14831,11,1794540
640369,13631,12,27250
642049,16463,10,823140
643129,16491,10,329810
643729,16511,10,33012
645409,16551,10,82745
645481,20823,8,166576
645649,6799,24,61167
648649,8231,20,8211
650281,16679,10,33348
650329,6327,26,12628
651169,13855,12,498768
656329,16831,10,84145
659761,16919,10,84585
663049,15431,11,15420
663601,21407,8,342504
667129,17111,10,34212
668089,17131,10,342610
669649,17171,10,343410
670321,6039,28,2367260
670489,12191,14,597345
670849,7711,22,1866040
673201,8111,21,1192296
679561,15815,11,15804
679681,9575,18,86157
684121,5759,30,17247
684289,17551,10,35092
685609,8679,20,433930
686449,5771,30,69222
687289,17623,10,881140
688969,17671,10,35332
689089,17671,10,88345
689761,10295,17,2975238
691681,9743,18,175356
692521,17759,10,88785
693169,9763,18,3163194
693961,17799,10,35588
695641,17839,10,89185
695689,9803,18,39194
695809,7327,24,65919
696361,7039,25,35170
696481,17859,10,357170
696721,22475,8,1438392
696889,17871,10,89345
698329,22535,8,22527
699001,8035,22,353518
699241,14879,12,119020
700561,22607,8,22599
701089,9875,18,355482
703441,18039,10,90185
704449,18063,10,903140
704761,18071,10,903540
704929,14999,12,359964
706561,18119,10,90585
706729,8951,20,35784
708481,8543,21,25608
709921,9999,18,1619820
711001,18231,10,911540
711649,16551,11,182050
712681,18279,10,36548
714841,12119,15,60580
715969,9063,20,1812580
719569,18451,10,369010
721561,10163,18,1097586
723409,18551,10,92745
723529,15395,12,246308
725041,18591,10,929540
727729,13235,14,52926
728281,23495,8,93972
728809,23511,8,188080
733321,17055,11,187594
734329,18831,10,94145
735001,15639,12,281490
735529,23735,8,23727
737641,23795,8,1522872
739201,18959,10,37908
740041,6219,30,1119390
741409,19011,10,380210
742009,19031,10,38052
744409,15839,12,380124
745201,24047,8,24039
747049,15895,12,572208
748609,6291,30,1132350
748801,24155,8,1545912
749809,19231,10,38452
752929,19311,10,38612
755329,16071,12,1157100
755449,19371,10,387410
756289,13751,14,673785
757201,16111,12,579984
758521,16151,12,16139
760729,19511,10,39012
762049,13859,14,55422
762721,19559,10,97785
765241,9687,20,484330
767089,19671,10,98345
770401,19759,10,39508
770641,9755,20,3901980
771961,24903,8,199216
772921,24935,8,99732
775681,25023,8,200176
776521,19911,10,995540
778681,25127,8,25119
779521,8207,24,131288
780049,25163,8,1610424
781369,16631,12,33250
784009,20103,10,1005140
784249,20111,10,100545
786241,11735,17,3391398
788449,14339,14,57342
789121,20239,10,40468
789721,25475,8,1630392
791569,25535,8,408552
793489,20351,10,40692
794641,10079,20,10059
795001,16915,12,2435748
796009,20411,10,408210
796849,16955,12,271268
797161,25715,8,1645752
797281,25727,8,25719
797689,18551,11,2244660
800209,5167,39,46464
802729,25895,8,414312
805081,10191,20,2038180
806521,6779,30,135550
809041,18815,11,2276604
810049,20771,10,415410
811441,11447,18,11429
811729,17271,12,1243500
812641,20839,10,104185
813121,9799,21,88170
813961,20871,10,1043540
816169,14843,14,59358
818689,17419,12,2508324
819289,10391,20,10371
820129,21031,10,105145
823201,26555,8,1699512
824401,21139,10,422770
825001,26615,8,106452
825049,26615,8,425832
825889,9495,22,104423
828601,11675,18,46682
831889,21331,10,426610
832129,26843,8,1717944
832969,26871,8,214960
833281,3671,57,1325174
835489,21423,10,1071140
838609,21503,10,1075140
839161,21519,10,107585
841369,27143,8,108564
841801,27155,8,1737912
842521,17927,12,215112
843649,27215,8,435432
844201,8887,24,319908
844369,21651,10,433010
845209,15371,14,61470
846841,21719,10,43428
847729,10751,20,10731
849601,27407,8,438504
850081,27423,8,219376
851041,27455,8,109812
851449,18119,12,72464
851761,6503,33,214566
852289,10791,20,86308
852889,21871,10,109345
854569,27575,8,27567
855241,8639,25,1079850
856969,12071,18,217260
857929,15599,14,764337
859321,22039,10,44068
860689,22071,10,110345
863689,27863,8,111444
867001,22231,10,1111540
868849,7831,28,62620
869521,12247,18,991989
870241,22319,10,44628
870601,14759,15,73780
871249,14767,15,3322560
872281,8495,26,8469
874729,22431,10,112145
876121,28263,8,226096
878089,18695,12,18683
878641,18695,12,448668
879649,18719,12,74864
882289,28463,8,113844
882961,20535,11,225874
885721,22711,10,1135540
892609,12575,18,75432
896449,22991,10,45972
897649,19099,12,2750244
898921,19127,12,229512
899761,23071,10,1153540
900169,16367,14,801969
901441,29087,8,29079
902281,19199,12,153580
902521,10895,21,10874
904201,19239,12,346290
904369,23191,10,115945
906481,19287,12,1388652
907561,23271,10,1163540
908041,11495,20,287355
908881,29327,8,29319
909409,16535,14,810201
909889,23331,10,466610
910561,29375,8,117492
910849,11531,20,184476
911089,29391,8,235120
915961,3023,76,8730348
916129,23491,10,469810
919081,21375,11,235114
919129,19559,12,78224
919249,23571,10,471410
920761,29703,8,237616
922681,23659,10,473170
924361,8639,27,2099250
924961,23719,10,118585
927361,29915,8,1914552
927529,23783,10,1189140
931849,21671,11,2622180
933601,23939,10,478770
935761,23999,10,47988
936769,9095,26,1537029
938569,24071,10,48132
940801,11919,20,23818
940921,7907,30,2372070
941329,10831,22,21640
943009,6599,36,52756
944329,9943,24,89463
944521,24219,10,484370
945289,6103,39,54888
946801,30543,8,244336
946969,11987,20,4794780
947641,24299,10,485970
948049,24311,10,121545
950041,30647,8,490344
950161,4975,48,716352
950401,7255,33,7900662
954409,2855,84,39886
956881,7535,32,482208
956929,17399,14,852537
957289,24551,10,49092
957721,24559,10,122785
957889,8051,30,160990
962161,24671,10,1233540
963601,11087,22,22152
966961,24799,10,49588
967129,10183,24,91623
967201,20591,12,20579
969049,11139,22,490094
971569,31343,8,125364
972721,16487,15,1236510
974089,17711,14,867825
977209,31523,8,2017464
977761,25071,10,1253540
977881,25079,10,50148
979969,22791,11,250690
980401,25139,10,502770
980641,11815,21,5210394
981481,9919,25,49570
988681,31895,8,127572
990361,25399,10,50788
990889,21095,12,21083
991201,6239,40,49872
993169,25471,10,50932
994249,21155,12,338468
996361,4199,60,8338
996529,21215,12,21203
998281,25599,10,127985
999769,9707,26,504738
999961,23255,11,2813844
1000969,25671,10,51332
1001401,25679,10,128385
1002241,25699,10,513970
1002289,18227,14,72894
1004161,12711,20,2542180
1005481,32435,8,2075832
1007161,21431,12,128574
1008001,21447,12,1544172
1009369,21479,12,85904
1010881,8495,30,1274220
1012369,18407,14,901929
1012489,32663,8,130644
1013329,25983,10,1299140
1017361,21647,12,259752
1021561,26199,10,52388
1023409,21775,12,783888
1024249,26263,10,1313140
1024321,10783,24,388164
1025161,21815,12,87248
1025641,26299,10,525970
1025929,33095,8,529512
1026481,17399,15,260970
1027321,9975,26,259324
1030681,13047,20,652330
1035409,26551,10,132745
1036729,33443,8,2140344
1037401,10479,25,1309850
1037929,18875,14,75486
1038409,26631,10,53252
1038601,26631,10,1331540
1040089,26671,10,133345
1040881,10519,25,52570
1041121,13199,20,13179
1041889,24231,11,266530
1044409,22223,12,177772
1045801,13239,20,264760
1046641,26839,10,134185
1048009,33815,8,33807
1051009,26951,10,134745
1053529,14843,18,59354
1054321,27039,10,54068
1056049,12139,22,534094
1056169,34071,8,272560
1056721,24575,11,2973564
1057249,27111,10,135545
1057681,34127,8,34119
1060249,27191,10,54372
1062121,34263,8,274096
1062601,9575,28,134022
1063441,8939,30,107238
1063561,27271,10,1363540
1063969,22639,12,203739
1065409,13487,20,337155
1070689,24911,11,24900
1071841,18167,15,1362510
1072009,34583,8,138324
1072801,34607,8,553704
1073209,22835,12,365348
1074361,22871,12,22859
1074481,27551,10,1377540
1075561,27579,10,551570
1078081,13647,20,682330
1081369,34883,8,2232504
1082761,23039,12,184300
1083289,4535,60,113315
1083601,34955,8,2237112
1087249,23135,12,138798
1088089,23151,12,1666860
1088641,27919,10,55828
1089841,15359,18,30700
1090849,27971,10,559410
1091161,35207,8,35199
1092961,23255,12,558108
1093129,28031,10,140145
1093681,15407,18,92424
1094689,28071,10,140345
1094809,11527,24,103719
1095481,13199,21,646730
1095529,28091,10,561810
1099081,9239,30,92360
1101409,23435,12,374948
1102201,35555,8,2275512
1102921,7715,36,123404
1103449,23479,12,211299
1106569,20123,14,80478
1107409,35723,8,2286264
1109161,15623,18,281196
1111489,35855,8,573672
1112689,28531,10,570610
1113961,7799,36,31160
1116889,16671,17,283390
1120081,13495,21,5951274
1120849,9419,30,2825670
1122529,28783,10,1439140
1123081,28799,10,143985
1124041,13543,21,853188
1127281,9479,30,47365
1127809,36383,8,145524
1130809,16895,17,16878
1132321,36527,8,584424
1134169,11939,24,764072
1135201,16007,18,15989
1136041,36647,8,586344
1137481,36695,8,146772
1139041,24235,12,3489828
1139329,19311,15,868980
1141009,36815,8,36807
1141849,24295,12,874608
1146049,29391,10,58772
1147969,24431,12,48850
1150081,16199,18,437355
1151089,19511,15,292650
1153441,12143,24,194264
1153681,19559,15,58662
1153849,37223,8,148884
1155529,29631,10,148145
1155961,24595,12,3541668
1157641,24631,12,886704
1158361,37367,8,597864
1160161,19679,15,19664
1160569,26991,11,296890
1161169,16355,18,588762
1162009,21131,14,84510
1165081,29879,10,59748
1165921,24807,12,1786092
1166089,12275,24,785576
1166929,37643,8,2409144
1167289,37655,8,602472
1169401,24887,12,49762
1169809,9831,30,442365
1171921,27255,11,299794
1173001,37847,8,37839
1173841,30099,10,601970
1174681,37895,8,151572
1175521,11879,25,59370
1176121,30159,10,150785
1178521,30219,10,604370
1178689,30223,10,1511140
1178809,30231,10,60452
1180369,30271,10,60532
1181329,30291,10,605810
1183561,16679,18,33340
1185241,30391,10,1519540
1186249,20111,15,60318
1186441,16715,18,66842
1187089,21587,14,86334
1188721,25295,12,101168
1191481,38435,8,2459832
1195489,25439,12,101744
1195681,30659,10,613170
1196281,30679,10,61348
1197289,25475,12,407588
1198201,25495,12,229443
1199521,30759,10,153785
1201201,27935,11,3380124
1201729,14479,21,912156
1202569,12659,24,810152
1202881,27975,11,307714
1206529,25671,12,1848300
1206769,30943,10,1547140
1208089,6071,50,1517700
1210609,25759,12,231819
1210801,15327,20,766330
1211281,31059,10,621170
1213921,39167,8,39159
1215769,10967,28,21906
1216681,31199,10,155985
1218121,31239,10,62468
1220041,25959,12,467250
1222729,39443,8,2524344
1224889,26063,12,208492
1225009,31411,10,628210
1225849,17267,18,207186
1227769,26135,12,26123
1230769,17335,18,1404117
1231129,28631,11,3464340
1232809,31611,10,632210
1233241,39783,8,318256
1235929,31691,10,633810
1236769,26315,12,421028
1238449,39951,8,319600
1239001,28815,11,316954
1239361,31779,10,635570
1239529,31783,10,1589140
1243369,26455,12,952368
1245169,40175,8,40167
1245721,21119,15,63342
1247569,31991,10,159945
1248241,26559,12,478050
1249921,14367,22,3476792
1250449,32063,10,1603140
1250929,14379,22,632654
1251121,40367,8,40359
1253401,32139,10,642770
1255321,26711,12,160254
1258681,32279,10,64548
1259689,22907,14,91614
1261969,21391,15,192504
1266409,26951,12,53890
1266841,17843,18,1927026
1269241,14591,22,160479
1269601,40955,8,2621112
1270201,16079,20,643140
1270249,32571,10,651410
1271449,41015,8,656232
1273561,17939,18,215250
1273729,23159,14,1134777
1275121,41135,8,164532
1276969,32743,10,1637140
1278481,18007,18,1458549
1279609,32811,10,656210
1280161,27239,12,217900
1280281,29775,11,327514
1282009,13495,24,1943256
1282969,23327,14,1143009
1286209,11591,28,92700
1286569,32991,10,164945
1286881,32999,10,164985
1287841,27407,12,54802
1291249,33111,10,165545
1293961,33179,10,663570
1295809,33231,10,66452
1296409,12587,26,654498
1296649,23579,14,94302
1299169,15655,21,140874
1299601,5439,60,244695
1300609,33351,10,166745
1302841,18359,18,36700
1303009,33411,10,668210
1307209,27815,12,166878
1308049,30431,11,30420
1308841,22199,15,22184
1312921,27935,12,670428
1313761,12755,26,8622354
1313929,33691,10,673810
1314601,42407,8,678504
1315969,33743,10,1687140
1318249,18567,18,3007836
1321681,42635,8,2728632
1322161,19751,17,19734
1322689,28143,12,506562
1323001,28151,12,168894
1323169,42683,8,2731704
1324369,24083,14,96318
1324849,33971,10,679410
1326529,24119,14,1181817
1326649,5551,60,1998300
1327561,28247,12,338952
1329241,42887,8,42879
1331521,28331,12,453284
1336561,43115,8,2759352
1339969,28511,12,342120
1340329,28519,12,256659
1341481,34399,10,171985
1342489,34423,10,1721140
1343689,24431,14,1197105
1347481,34551,10,1727540
1348561,43503,8,348016
1349401,28711,12,1033584
1350001,4839,70,1185485
